agv_id,name_en,entity_type,governance_modality_primary,topic_focus_primary,geographic_scope,region_code,lead_actor_primary,legal_character,founded_date,current_state,convening_frequency,primary_reference_url,confidence,notes
g7_hiroshima_process,G7 Hiroshima AI Process,intergov_forum,declaration_principles,safety_frontier,plurilateral,,state_govt,soft_law,2023-05-19,active,annual,https://www.mofa.go.jp/policy/economy/g7_hiroshima/,high,Code of Conduct for advanced AI developers
bletchley_summit,AI Safety Summit (Bletchley Park),one_off_summit,declaration_principles,safety_frontier,global,,state_govt,soft_law,2023-11-01,succeeded,one_off,https://www.gov.uk/government/topical-events/ai-safety-summit-2023,high,Bletchley Declaration; succeeded by Seoul/Paris summits
seoul_summit,AI Seoul Summit,one_off_summit,declaration_principles,safety_frontier,global,,state_govt,soft_law,2024-05-21,succeeded,one_off,https://www.gov.uk/government/topical-events/ai-seoul-summit-2024,high,Second in summit series
paris_action_summit,AI Action Summit (Paris),one_off_summit,declaration_principles,ai_general,global,,state_govt,soft_law,2025-02-10,active,one_off,https://www.elysee.fr/en/sommet-pour-l-action-sur-l-ia,high,Third in safety summit series; broader scope
uk_aisi,UK AI Safety Institute,national_regulator_intl,evaluation_benchmarking,safety_frontier,global,,state_govt,mixed,2023-11-02,active,continuous,https://www.aisi.gov.uk/,high,First national AISI; anchors international AISI network
us_aisi,US AI Safety Institute,national_regulator_intl,evaluation_benchmarking,safety_frontier,global,,state_govt,mixed,2024-02-07,active,continuous,https://www.nist.gov/aisi,high,Established within NIST
japan_aisi,Japan AI Safety Institute,national_regulator_intl,evaluation_benchmarking,safety_frontier,global,,state_govt,mixed,2024-02-14,active,continuous,https://aisi.go.jp/,high,Established within IPA
singapore_ai_verify,AI Verify Foundation,multistakeholder_coalition,evaluation_benchmarking,standards_interop,global,,state_govt,soft_law,2023-06-07,active,continuous,https://aiverifyfoundation.sg/,high,Open-source AI testing toolkit foundation
frontier_model_forum,Frontier Model Forum,industry_consortium,dialogue_coordination,safety_frontier,global,,industry,soft_law,2023-07-26,active,continuous,https://www.frontiermodelforum.org/,high,Anthropic Google Microsoft OpenAI founding members
mlcommons_ai_safety,MLCommons AI Safety Working Group,industry_consortium,evaluation_benchmarking,safety_frontier,global,,industry,n/a,2023-10-26,active,continuous,https://mlcommons.org/working-groups/ai-safety/,high,Industry benchmarks for AI safety
coe_ai_convention,Council of Europe Framework Convention on AI,treaty_body,binding_instrument,ethics_rights,regional,EU,igo_secretariat,hard_law,2024-05-17,active,continuous,https://www.coe.int/en/web/artificial-intelligence/the-framework-convention-on-artificial-intelligence,high,First binding international AI treaty; opened for signature Sept 2024
un_hlab_ai,UN High-Level Advisory Body on AI,igo_initiative,research_monitoring,ai_general,global,,igo_secretariat,n/a,2023-10-26,terminated,one_off,https://www.un.org/ai-advisory-body,high,Produced Governing AI for Humanity report 2024
un_scientific_panel,UN Independent International Scientific Panel on AI,igo_initiative,research_monitoring,ai_general,global,,igo_secretariat,soft_law,2025-08-26,active,annual,https://www.un.org/global-dialogue-ai-governance/en,high,Established by UN GA resolution 79/325
un_global_dialogue,UN Global Dialogue on AI Governance,intergov_forum,dialogue_coordination,ai_general,global,,igo_secretariat,soft_law,2025-08-26,active,annual,https://www.un.org/global-dialogue-ai-governance/en,high,All 193 member states; first session 2026
itu_ai_for_good,AI for Good Global Summit (ITU),industry_conference,dialogue_coordination,access_inclusion,global,,igo_secretariat,n/a,2017-06-07,active,annual,https://aiforgood.itu.int/,high,Annual ITU summit; major UN-system AI venue
neurips_ml_safety,NeurIPS ML Safety Workshop,conference_policy_track,research_monitoring,safety_frontier,global,,academia,n/a,2022-12-09,active,annual,https://neurips.cc/Conferences/2022/Schedule?type=Workshop,high,Recurring workshop within NeurIPS
acm_facct,ACM FAccT Conference,conference_policy_track,research_monitoring,ethics_rights,global,,academia,n/a,2018-02-23,active,annual,https://facctconference.org/,high,Originally FAT*; rebranded FAccT in 2020
aies_conference,AAAI/ACM Conference on AI Ethics and Society,conference_policy_track,research_monitoring,ethics_rights,global,,academia,n/a,2018-02-02,active,annual,https://www.aies-conference.com/,high,First AIES held alongside AAAI 2018
caidp,Center for AI and Digital Policy,intl_ngo_thinktank,research_monitoring,ethics_rights,global,,civil_society,n/a,2020-09-15,active,continuous,https://www.caidp.org/,high,AI and Democratic Values Index annual report
cais,Center for AI Safety,intl_ngo_thinktank,research_monitoring,safety_frontier,global,,civil_society,n/a,2022-06-01,active,continuous,https://www.safe.ai/,high,Statement on AI Risk signed by 100s of researchers May 2023
